country,total_prod_value
Brunei Darussalam,159282.9569
Syrian Arab Republic,268030.4519
Pakistan,76450.6658
Mexico,2970033.323
Colombia,822525.9986
Qatar,733933.6495
Nigeria,2213695.813
India,740128.8153
Morocco,148.9469
Ecuador,548870.208
Lithuania,3281.1357
Hungary,17253.8824
Israel,842.5871
Canada,2836577.441
Cuba,60737.2147
Bulgaria,480.9777
Equatorial Guinea,254696.0139
Argentina,636202.986
Australia,430233.5974
Angola,1531998.466
Bahrain,204722.5066
"Moldova, Republic of",148.9504
Kyrgyzstan,2398.8905
Mongolia,9916.3261
United Kingdom,1329008.002
Cote d'Ivoire,34858.1261
Cameroon,87602.4957
"Congo, The Democratic Republic of ",24689.2192
Jordan,22.8357
New Zealand,33662.5384
Brazil,2272732.947
Russia Federation,9962434.637
Ghana,74686.6808
"Korea, Republic of",522.8547
Sudan,255701.8874
Romania,88416.8022
Egypt,680855.3061
Netherlands,28822.292
Austria,17442.9501
Saudi Arabia,9764604.558
Guatemala,15714.7492
Tajikistan,499.8168
Venezuela,2941767.267
Peru,72316.3202
Libyan Arab Jamahiriya,1240568.227
Denmark,245034.0445
Uzbekistan,90616.3179
Mozambique,170.1828
Italy,107678.4243
Kazakstan,1557538.519
Germany,58563.1461
Trinidad and Tobago,105312.9085
Georgia,1198.3506
Malaysia,673973.1158
France,19760.3448
Myanmar,16468.8823
Azerbaijan,719850.5332
Niger,8328.013
Indonesia,958679.1917
Vietnam,324681.847
Spain,3638.9799
Japan,5121.59
Ukraine,50392.6041
Belarus,36170.7313
Algeria,1186021.923
Republic of Serbia,18628.6827
Albania,16044.264
Czechia,3905.9483
Slovenia,2.1905
"Iran, Islamic Republic of",3711185.657
South Africa,6143.9768
Bolivia,43131.7607
Poland,17822.1513
Iraq,3155868.562
"Taiwan, Province of China",340.511
Turkmenistan,209469.3449
Croatia,15265.7683
United Arab Emirates,2742274.36
Turkey,54211.7569
Philippines,15116.0339
China,4023632.765
Yemen,230150.643
Tunisia,62794.5498
Kuwait,2750103.344
Chile,4237.7771
Thailand,222285.381
Greece,2134.1214
Oman,950707.7298
Norway,2174949.962
Gabon,249540.1244
United States,7867581.506
Congo,286135.8884
Slovakia,378.8583
G20,44487731.97
OEU,4083888.19
EU28,1958890.019
WLD,78775218.9
EU27_2020,629882.0178